Developer,Repo Name,Num. of Stars,Language
openai,gpt-2,"9,019",Python
openai,gpt-2-output-dataset,473,Python
tannerlinsley,react-query,"1,421",JavaScript
polynote,polynote,"2,693",Scala
CyC2018,CS-Notes,"82,346",Java
marktext,marktext,"12,676",JavaScript
GuoZhaoran,spikeSystem,603,Go
pandas-dev,pandas,"22,171",Python
imfht,fanhaodaquan,"1,036",Not Specified
lowRISC,opentitan,263,SystemVerilog
shenweichen,DeepCTR,"2,335",Python
palash25,best-practices-checklist,323,Not Specified
deezer,spleeter,"5,696",Python
milvus-io,milvus,"1,765",C++
huiyadanli,RevokeMsgPatcher,"1,389",C#
fluttercandies,NeteaseCloudMusic,518,Dart
sleepybear1113,taobaoVisitingVenues,967,JavaScript
chiphuyen,python-is-cool,"1,747",Jupyter Notebook
heibaiying,BigData-Notes,"1,736",Java
trimstray,the-book-of-secret-knowledge,"24,074",Not Specified
naganandy,graph-based-deep-learning-literature,"1,191",Jupyter Notebook
haoel,haoel.github.io,"2,167",Not Specified
PaddlePaddle,models,"3,301",Python
microsoft,BotFramework-Composer,76,TypeScript
KunMinX,Jetpack-MVVM-Best-Practice,559,Java
